merchant_id,merchant_name,category,country,onboard_date,risk_score
1,King-Williams,Electronics,UK,2023-09-11,0.397
2,Taylor Inc,Retail,IN,2023-06-17,0.013
3,"Smith, Mooney and Sanchez",Food,IN,2025-05-24,0.014
4,Le and Sons,Food,IN,2023-12-31,0.642
5,Ramirez-Martin,Travel,US,2024-07-21,0.616
6,Conrad-Erickson,Food,US,2023-04-26,0.565
7,Cruz-Maldonado,Travel,UK,2025-12-10,0.128
8,"Salinas, Sharp and Snyder",Food,IN,2024-11-11,0.07
9,Sanders-Arnold,Food,UK,2025-03-31,0.695
10,Thompson Ltd,Retail,UK,2023-10-07,0.347
11,Diaz-Sims,Electronics,US,2023-11-19,0.758
12,"Jackson, Jackson and Morgan",Electronics,US,2023-09-23,0.838
13,Cox and Sons,Food,US,2024-05-20,0.849
14,Smith Ltd,Travel,US,2024-12-21,0.34
15,Rowland Ltd,Retail,IN,2024-01-08,0.742
16,"Pitts, Martinez and Boone",Retail,UK,2023-05-14,0.939
17,Todd-Holmes,Travel,IN,2024-02-09,0.653
18,Gibson-Ryan,Electronics,UK,2025-10-15,0.233
19,"Pearson, Boone and Huff",Electronics,US,2024-05-25,0.871
20,"Hart, Parker and Jenkins",Electronics,IN,2025-11-25,0.025
21,Montoya-Morse,Retail,UK,2023-10-18,0.395
22,Jones-Brown,Electronics,IN,2024-04-24,0.403
23,Bridges and Sons,Travel,IN,2023-07-15,0.696
24,"Brady, Jensen and Thomas",Electronics,UK,2024-10-07,0.152
25,Trujillo PLC,Food,UK,2025-06-30,0.317
26,Hammond-Herman,Retail,IN,2025-03-26,0.526
27,Lee-Roth,Travel,UK,2024-09-19,0.677
28,Thornton Group,Electronics,US,2024-10-26,0.102
29,"Holmes, Sosa and Rivera",Travel,US,2023-10-23,0.949
30,Wilson LLC,Travel,IN,2024-08-12,0.186
31,Mathews Ltd,Travel,UK,2023-07-20,0.602
32,"Kelley, Richards and Wiley",Electronics,US,2024-12-19,0.462
33,Waters-Mann,Retail,UK,2023-07-07,0.327
34,Williams and Sons,Electronics,UK,2025-01-20,0.945
35,"Wells, Smith and Moody",Retail,US,2024-03-06,0.363
36,Guzman-Mcclure,Travel,IN,2023-08-29,0.8
37,Murphy LLC,Electronics,UK,2025-07-30,0.605
38,Barnes-Boyd,Retail,IN,2024-08-20,0.899
39,"Wells, Powers and Rodriguez",Electronics,UK,2025-11-05,0.554
40,Burch Ltd,Electronics,IN,2024-10-27,0.56
41,Alexander-Smith,Food,US,2023-04-26,0.814
42,"Mack, Massey and Green",Retail,US,2025-07-01,0.549
43,Bradley Ltd,Electronics,UK,2023-10-13,0.782
44,Burke Ltd,Retail,UK,2025-09-08,0.417
45,Whitehead PLC,Food,IN,2024-09-19,0.594
46,Davis-Allen,Food,UK,2024-06-21,0.499
47,Bird-Nelson,Food,US,2025-10-11,0.232
48,Gonzalez-Compton,Electronics,UK,2026-03-26,0.951
49,Mcgee-Rivas,Food,IN,2026-01-23,0.644
50,Saunders and Sons,Food,UK,2024-11-17,0.498
51,Fowler-Spears,Electronics,IN,2023-11-22,0.373
52,"Sims, Baker and Conner",Travel,IN,2023-08-08,0.682
53,"Odonnell, Perez and Tran",Travel,IN,2023-08-08,0.047
54,Ellis PLC,Food,UK,2024-07-29,0.694
