refund_id,txn_id,refund_amount,refund_date,reason
1,1,247.1,2025-12-29 19:50:49.642991,Duplicate
2,34,494.26,2025-10-16 22:53:20.642991,Duplicate
3,61,126.62,2025-05-12 08:56:40.642991,Customer Request
4,104,263.49,2026-04-24 06:12:38.642991,Product Issue
5,140,329.51,2026-03-31 20:17:43.642991,Duplicate
6,142,402.17,2025-08-25 16:58:03.642991,Product Issue
7,259,369.44,2026-02-14 21:16:59.642991,Duplicate
8,329,894.63,2025-10-26 04:23:04.642991,Customer Request
9,340,184.86,2025-10-23 20:56:33.642991,Customer Request
10,374,499.96,2025-06-02 12:31:57.642991,Product Issue
11,395,271.74,2025-09-19 16:14:33.642991,Duplicate
12,437,165.49,2025-05-22 02:37:20.642991,Fraud
13,441,479.32,2026-03-26 04:41:39.642991,Product Issue
14,469,432.6,2026-01-11 08:33:49.642991,Product Issue
15,609,357.75,2025-07-03 06:12:17.642991,Product Issue
16,666,106.56,2026-04-25 06:16:54.642991,Fraud
17,683,452.47,2025-12-16 22:13:59.642991,Product Issue
18,799,385.03,2025-09-21 14:53:45.642991,Product Issue
19,822,78.94,2025-11-27 23:21:20.642991,Fraud
20,830,78.11,2025-10-22 22:44:45.642991,Duplicate
21,849,561.98,2026-04-08 22:32:34.642991,Customer Request
22,851,501.63,2026-02-08 07:19:41.642991,Customer Request
23,858,97.1,2026-03-17 16:02:48.642991,Fraud
24,861,558.19,2026-02-16 21:51:29.642991,Customer Request
25,887,7.52,2025-05-20 10:36:48.642991,Duplicate
26,888,349.12,2025-10-03 14:48:22.642991,Customer Request
27,950,431.2,2025-12-11 08:47:51.642991,Product Issue
28,990,75.45,2025-05-11 03:11:24.642991,Duplicate
29,1055,163.62,2026-01-07 09:46:58.642991,Fraud
30,1082,619.16,2026-03-05 08:55:11.642991,Duplicate
31,1136,310.93,2025-11-27 02:34:28.642991,Duplicate
32,1160,578.06,2025-09-06 00:00:30.642991,Customer Request
33,1161,493.27,2025-10-07 17:56:24.642991,Fraud
34,1205,174.01,2025-08-10 00:43:26.642991,Duplicate
35,1246,661.51,2025-07-30 21:15:52.642991,Product Issue
36,1256,565.34,2026-02-20 17:56:42.642991,Customer Request
37,1305,486.25,2025-08-06 05:47:06.642991,Customer Request
38,1348,244.8,2025-12-13 18:03:46.642991,Product Issue
39,1370,463.03,2025-05-11 02:56:36.642991,Duplicate
40,1402,678.66,2025-09-28 00:26:33.642991,Product Issue
41,1526,186.61,2025-08-28 11:08:22.642991,Customer Request
42,1538,607.16,2025-08-27 01:34:31.642991,Product Issue
43,1576,28.86,2025-08-06 10:08:54.642991,Fraud
44,1592,473.39,2026-01-29 14:53:20.642991,Duplicate
45,1616,484.33,2025-10-14 19:20:27.642991,Product Issue
46,1668,153.05,2025-10-14 01:10:37.642991,Product Issue
47,1735,22.68,2026-01-01 12:17:18.642991,Duplicate
48,1747,495.05,2025-08-18 02:35:09.642991,Customer Request
49,1838,170.03,2026-04-05 01:48:48.642991,Customer Request
50,1853,531.24,2026-04-04 08:36:42.642991,Duplicate
51,1876,276.81,2026-04-10 16:22:30.642991,Fraud
52,1966,578.02,2026-01-06 09:22:44.642991,Customer Request
53,1972,729.85,2025-05-19 02:53:27.642991,Duplicate
54,1977,44.03,2026-01-16 22:50:57.642991,Customer Request
55,2068,401.85,2026-04-16 04:14:20.642991,Duplicate
56,2123,159.57,2026-03-29 07:39:55.642991,Fraud
57,2146,107.74,2026-02-21 04:35:23.642991,Customer Request
58,2205,457.27,2025-09-20 03:44:50.642991,Fraud
59,2256,830.19,2025-05-26 01:00:04.642991,Customer Request
60,2299,379.3,2026-02-12 11:54:07.642991,Product Issue
61,2427,358.59,2025-06-14 13:52:25.642991,Customer Request
62,2448,480.25,2026-01-01 09:20:41.642991,Customer Request
63,2480,394.71,2026-03-31 20:31:47.642991,Fraud
64,2481,312.43,2026-02-17 02:27:42.642991,Customer Request
65,2504,650.28,2025-10-15 00:11:21.642991,Customer Request
66,2518,274.25,2026-04-11 13:36:31.642991,Duplicate
67,2528,412.09,2026-02-21 16:35:56.642991,Fraud
68,2543,609.1,2025-10-29 03:23:12.642991,Fraud
69,2785,835.7,2025-12-15 12:47:52.642991,Duplicate
70,2802,285.27,2026-02-26 21:03:54.642991,Product Issue
71,2813,277.18,2025-06-26 15:08:29.642991,Fraud
72,2898,115.79,2026-01-26 01:34:15.642991,Customer Request
73,2968,194.61,2025-06-28 10:40:20.642991,Fraud
74,3053,571.63,2026-03-26 01:34:48.642991,Product Issue
75,3054,445.48,2026-01-29 11:35:04.642991,Product Issue
76,3079,384.13,2025-12-20 11:41:26.642991,Fraud
77,3099,718.05,2025-08-23 07:45:46.642991,Customer Request
78,3106,510.05,2025-07-27 23:42:38.642991,Product Issue
79,3111,214.52,2025-05-15 03:01:40.642991,Product Issue
80,3124,277.27,2025-06-06 05:54:09.642991,Customer Request
81,3157,723.7,2025-09-25 11:24:21.642991,Duplicate
82,3176,506.53,2025-09-01 20:07:17.642991,Fraud
83,3181,317.78,2025-06-22 08:11:05.642991,Fraud
84,3198,360.21,2025-11-08 12:28:32.642991,Product Issue
85,3202,486.17,2025-11-01 17:39:32.642991,Fraud
86,3211,112.47,2026-01-12 04:17:16.642991,Duplicate
87,3213,519.41,2025-10-04 06:23:38.642991,Product Issue
88,3275,670.3,2025-07-15 00:31:19.642991,Customer Request
89,3279,433.09,2025-10-28 06:41:52.642991,Duplicate
90,3363,484.1,2025-07-27 10:13:39.642991,Fraud
91,3383,737.03,2025-11-25 05:36:53.642991,Duplicate
92,3416,581.69,2025-10-04 18:55:39.642991,Duplicate
93,3432,433.19,2025-08-15 21:59:05.642991,Fraud
94,3438,227.26,2025-12-15 14:18:06.642991,Duplicate
95,3439,275.98,2025-06-06 04:04:19.642991,Product Issue
96,3499,612.63,2025-10-15 23:50:02.642991,Fraud
97,3514,66.18,2026-01-09 20:10:29.642991,Fraud
98,3528,719.57,2026-01-18 13:55:47.642991,Product Issue
99,3536,834.11,2025-07-19 14:23:01.642991,Duplicate
100,3540,467.21,2025-10-19 04:39:56.642991,Fraud
101,3576,430.61,2025-11-07 19:26:17.642991,Customer Request
102,3580,646.06,2025-06-22 16:40:57.642991,Customer Request
103,3586,822.93,2025-06-09 15:23:33.642991,Product Issue
104,3595,668.33,2025-10-15 12:09:24.642991,Customer Request
105,3613,249.61,2025-08-02 07:40:13.642991,Fraud
